total_bill,tip,sex,smoker,size,day_Fri,day_Sat,day_Sun,time_Dinner
16.99,small,0,0,2,0,0,1,1
10.34,small,1,0,3,0,0,1,1
21.01,high,1,0,3,0,0,1,1
23.68,average,1,0,2,0,0,1,1
24.59,high,0,0,4,0,0,1,1
25.29,high,1,0,4,0,0,1,1
8.77,small,1,0,2,0,0,1,1
26.88,average,1,0,4,0,0,1,1
15.04,small,1,0,2,0,0,1,1
14.78,average,1,0,2,0,0,1,1
10.27,small,1,0,2,0,0,1,1
35.26,high,0,0,4,0,0,1,1
15.42,small,1,0,2,0,0,1,1
18.43,average,1,0,4,0,0,1,1
14.83,average,0,0,2,0,0,1,1
21.58,high,1,0,2,0,0,1,1
10.33,small,0,0,3,0,0,1,1
16.29,high,1,0,3,0,0,1,1
16.97,high,0,0,3,0,0,1,1
20.65,average,1,0,3,0,1,0,1
17.92,high,1,0,2,0,1,0,1
20.29,average,0,0,2,0,1,0,1
15.77,average,0,0,2,0,1,0,1
39.42,high,1,0,4,0,1,0,1
19.82,average,1,0,2,0,1,0,1
17.81,average,1,0,4,0,1,0,1
13.37,small,1,0,2,0,1,0,1
12.69,small,1,0,2,0,1,0,1
21.7,high,1,0,2,0,1,0,1
19.65,average,0,0,2,0,1,0,1
9.55,small,1,0,2,0,1,0,1
18.35,average,1,0,4,0,1,0,1
15.06,average,0,0,2,0,1,0,1
20.69,average,0,0,4,0,1,0,1
17.78,average,1,0,2,0,1,0,1
24.06,high,1,0,3,0,1,0,1
16.31,small,1,0,3,0,1,0,1
16.93,average,0,0,3,0,1,0,1
18.69,average,1,0,3,0,1,0,1
31.27,high,1,0,3,0,1,0,1
16.04,average,1,0,3,0,1,0,1
17.46,average,1,0,2,0,0,1,1
13.94,average,1,0,2,0,0,1,1
9.68,small,1,0,2,0,0,1,1
30.4,high,1,0,4,0,0,1,1
18.29,average,1,0,2,0,0,1,1
22.23,high,1,0,2,0,0,1,1
32.4,high,1,0,4,0,0,1,1
28.55,small,1,0,3,0,0,1,1
18.04,average,1,0,2,0,0,1,1
12.54,average,1,0,2,0,0,1,1
10.29,average,0,0,2,0,0,1,1
34.81,high,0,0,4,0,0,1,1
9.94,small,1,0,2,0,0,1,1
25.56,high,1,0,4,0,0,1,1
19.49,high,1,0,2,0,0,1,1
